kunta,ammatti,muu_tuki,lainat,etunimi,omat_varat,kulut_kaikki,yritys_tuki,puolue_lyh,rahoitus_kaikki,valitetty_tuki,puolueyhdistys_tuki,puolue,vaalipiiri,sukunimi,yksityinen_tuki,puolue_tuki
Tampere,"yrittäjä, kouluttaja",0,0,Arja-Liisa,300,300,0,VP,300,0,0,Vapauspuolue (VP) - Suomen tulevaisuus r.p.,Pirkanmaan vaalipiiri,Kangas,0,0
Tampere,"puheenjohtaja, yrittäjä",0,0,Kalevi,700,700,0,VP,700,0,0,Vapauspuolue (VP) - Suomen tulevaisuus r.p.,Pirkanmaan vaalipiiri,Helo,0,0
Joensuu,ekonomi,0,0,Ritva Seija Annukka,350,1500,0,KESK,1150,0,1150,Suomen Keskusta r.p.,Pohjois-Karjalan vaalipiiri,Mikkola,0,0
Tampere,"vahtimestari, järjestyksenvalvoja",0,0,Arja Johanna,200,200,0,VP,200,0,0,Vapauspuolue (VP) - Suomen tulevaisuus r.p.,Pirkanmaan vaalipiiri,Hirvenoja,0,0
Tampere,tekniikan ylioppilas,0,0,Jukka Matti,200,200,0,VP,0,0,0,Vapauspuolue (VP) - Suomen tulevaisuus r.p.,Pirkanmaan vaalipiiri,Raiskio,0,0
Tampere,konesähköasentaja,0,0,Timo Eljas,300,300,0,VP,300,0,0,Vapauspuolue (VP) - Suomen tulevaisuus r.p.,Pirkanmaan vaalipiiri,Tukia,0,0
Nokia,grilli-elintarvikemyyjä,0,0,Tarja Marjaana,200,200,0,VP,200,0,0,Vapauspuolue (VP) - Suomen tulevaisuus r.p.,Pirkanmaan vaalipiiri,Juvonen,0,0
Tampere,artesaani,0,0,Petra Johanna,180,180,0,VP,180,0,0,Vapauspuolue (VP) - Suomen tulevaisuus r.p.,Pirkanmaan vaalipiiri,Hietalahti,0,0
Nokia,yrittäjä,0,0,Keijo Veikko Juhani,800,800,0,VP,800,0,0,Vapauspuolue (VP) - Suomen tulevaisuus r.p.,Pirkanmaan vaalipiiri,Kirstua,0,0
Tampere,"arkkitehti, kaupunkisuunnittelija",0,0,Kirsikka,6700,8000,0,VIHR,8000,0,0,Vihreä liitto r.p.,Pirkanmaan vaalipiiri,Siik,1300,0
Tampere,"gynekologi, lääketieteen lisensiaatti",0,0,Aino,2641,3466,0,VIHR,3466,0,0,Vihreä liitto r.p.,Pirkanmaan vaalipiiri,Kajan,825,0
Ylöjärvi,"terveystieteiden maisteri, kehittämiskoordinaattori",0,0,Minna,4244,9468,478,VIHR,9468,0,2232,Vihreä liitto r.p.,Pirkanmaan vaalipiiri,Sorsa,2513,0
Tampere,"diplomi-insinööri, koripallovalmentaja",0,0,Pieti,850,6300,4550,VIHR,6300,0,0,Vihreä liitto r.p.,Pirkanmaan vaalipiiri,Poikola,900,0
Sastamala,"biologi, tutkija",0,0,Paula Eveliina,9661,11206,280,VIHR,11206,0,1000,Vihreä liitto r.p.,Pirkanmaan vaalipiiri,Asikainen,295,0
Tampere,"freelance-yrittäjä, medianomi (AMK)",0,0,Olli-Poika,8000,11400,0,VIHR,0,0,1200,Vihreä liitto r.p.,Pirkanmaan vaalipiiri,Parviainen,2200,0
Pirkkala,"opiskelija, tekniikan kandidaatti",0,0,Riku,1000,4900,140,VIHR,4900,0,1560,Vihreä liitto r.p.,Pirkanmaan vaalipiiri,Merikoski,2200,0
Tampere,"opiskelija, hallintotieteiden kandidaatti",0,0,Hanna,1000,4020,500,VIHR,4020,0,220,Vihreä liitto r.p.,Pirkanmaan vaalipiiri,Hakko,2300,0
Tampere,"ylikonstaapeli, yhteiskuntatieteiden maisteri",0,0,Anna-Kaisa,4387,9641,0,VIHR,9641,0,230,Vihreä liitto r.p.,Pirkanmaan vaalipiiri,Heinämäki,5024,0
Tampere,"kansanedustaja, yhteiskuntatieteiden maisteri",0,0,Oras,17094,20364,0,VIHR,20364,0,0,Vihreä liitto r.p.,Pirkanmaan vaalipiiri,Tynkkynen,3269,0
Tampere,"kehittämispäällikkö, sosiaalityöntekijä",0,0,Mervi,5900,9288,90,VIHR,9288,0,638,Vihreä liitto r.p.,Pirkanmaan vaalipiiri,Janhunen,2750,0
Bryssel,Senior Climate Policy Officer,0,0,Ulriikka,4403,8988,0,VIHR,8988,0,0,Vihreä liitto r.p.,Pirkanmaan vaalipiiri,Aarnio,4585,0
Lempäälä,"perhetyöntekijä, pariterapeutti",0,0,Kirsi,2000,4820,140,VIHR,4820,0,2249,Vihreä liitto r.p.,Pirkanmaan vaalipiiri,Jokila,430,0
Tampere,"opiskelija, tekniikan kandidaatti",0,0,Emilia,2341,4898,0,VIHR,4898,0,520,Vihreä liitto r.p.,Pirkanmaan vaalipiiri,Olkanen,2037,0
Tampere,"yhteiskuntatieteiden maisteri, tutkija",0,2000,Aziz,4000,7080,0,VIHR,7000,0,0,Vihreä liitto r.p.,Pirkanmaan vaalipiiri,Sheikhani,1000,0
Tampere,lukiolainen,0,0,Paavo-Einari,1100,1500,0,VIHR,1500,0,0,Vihreä liitto r.p.,Pirkanmaan vaalipiiri,Kaipila,400,0
Tampere,"pääluottamusmies, sairaanhoitaja",0,0,Petri,5883,6673,0,VIHR,6673,0,0,Vihreä liitto r.p.,Pirkanmaan vaalipiiri,Siuro,790,0
Nokia,"lehtori, filosofian kandidaatti",1300,0,Leo,2300,7400,900,VIHR,7400,0,2000,Vihreä liitto r.p.,Pirkanmaan vaalipiiri,Lähde,900,0
Tampere,"kansanedustaja, filosofian maisteri",0,0,Minna Maaria,6525,13200,1000,VAS,13200,5335,0,Vasemmistoliitto r.p.,Pirkanmaan vaalipiiri,Sirnö,340,0
Tampere,mittakirvesmies,8000,0,Kalle Veikko,1000,14000,0,VAS,14000,0,1000,Vasemmistoliitto r.p.,Pirkanmaan vaalipiiri,Hyötynen,4000,0
Tampere,yhteiskuntatieteiden tutkija,0,0,Jukka Markus,400,1200,0,VAS,1200,0,0,Vasemmistoliitto r.p.,Pirkanmaan vaalipiiri,Peltokoski,800,0
Tampere,"lähihoitaja, sosionomi",1500,0,Minna Maria,800,3000,0,VAS,3000,0,500,Vasemmistoliitto r.p.,Pirkanmaan vaalipiiri,Minkkinen,200,500
Akaa,aluepäällikkö,12000,0,Niina-Maija,5000,18500,0,VAS,18500,8400,500,Vasemmistoliitto r.p.,Pirkanmaan vaalipiiri,Koivuniemi,1000,0
Tampere,sijaisvanhempikouluttaja,1900,0,Ulla-Leena,2500,12400,0,VAS,12400,0,500,Vasemmistoliitto r.p.,Pirkanmaan vaalipiiri,Alppi,7500,0
Ylöjärvi,tv-ohjaaja,100,0,Anssi Elias,5000,20000,0,VAS,20000,0,14500,Vasemmistoliitto r.p.,Pirkanmaan vaalipiiri,Repo,400,0
Tampere,"yhteisöpäällikkö, käsikirjoittaja",0,0,Jarmo Olavi,0,2400,0,VAS,2400,0,2400,Vasemmistoliitto r.p.,Pirkanmaan vaalipiiri,Puskala,0,0
Tampere,sairaanhoitaja,0,0,Emilia Anna-Sofia,100,3200,0,VAS,3200,0,0,Vasemmistoliitto r.p.,Pirkanmaan vaalipiiri,Lehtomäki,0,0
Tampere,tutkija,4500,7250,Anna Liisa,10800,29000,0,VAS,29000,0,1250,Vasemmistoliitto r.p.,Pirkanmaan vaalipiiri,Kontula,5200,0
Tampere,"talouspäällikkö, hallintotieteiden maisteri",0,0,Mikko Petteri,5000,5600,500,VAS,5600,0,0,Vasemmistoliitto r.p.,Pirkanmaan vaalipiiri,Aaltonen,100,0
Ylöjärvi,moottoriasentaja,2000,0,Erkki Antero,3000,10000,0,VAS,10000,3500,1100,Vasemmistoliitto r.p.,Pirkanmaan vaalipiiri,Moisio,400,0
Tampere,"yhteiskuntatieteiden tohtori, sairaanhoitaja",500,0,Taimi Sinikka,1500,6000,200,VAS,6000,0,0,Vasemmistoliitto r.p.,Pirkanmaan vaalipiiri,Torkkola,3800,0
Tampere,"kotiäiti, kokki",0,0,Mervi Helka Maria,0,0,0,SKP,0,0,0,Suomen Kommunistinen Puolue,Pirkanmaan vaalipiiri,Alanko,0,0
Tampere,"yhteisöpedagogi (AMK), puuseppä",0,0,Aapo Jaakko Antero,0,0,0,SKP,0,0,0,Suomen Kommunistinen Puolue,Pirkanmaan vaalipiiri,Toivanen,0,0
Kangasala,lähihoitaja,2948,0,Hanna Katariina,0,9504,0,SDP,9504,0,4500,Suomen Sosialidemokraattinen Puolue,Pirkanmaan vaalipiiri,Laine,2056,0
Tampere,hallintotieteiden ylioppilas,1100,0,Sanna Mirella,6200,11800,400,SDP,11800,0,3400,Suomen Sosialidemokraattinen Puolue,Pirkanmaan vaalipiiri,Marin,700,0
Lempäälä,diplomi-insinööri,0,0,Kirsi Kyllikki,400,400,0,PS,400,0,0,Perussuomalaiset r.p.,Pirkanmaan vaalipiiri,Kallio,0,300
Tampere,opiskelija,0,0,Maria Eveliina,40,50,0,PIR,50,0,0,Piraattipuolue r.p.,Pirkanmaan vaalipiiri,Morri,10,0
Tampere,"yhteiskuntatieteiden maisteri, koti-isä",0,0,Jaakko Heikki,120,120,0,PIR,120,0,0,Piraattipuolue r.p.,Pirkanmaan vaalipiiri,Koivula,0,0
Tampere,"yrittäjä, toimituspäällikkö",0,0,Kyuu Antti Arimo,400,400,0,PIR,400,0,0,Piraattipuolue r.p.,Pirkanmaan vaalipiiri,Eturautti,0,0
Tampere,opiskelija,0,0,Aapo Petteri,50,50,0,PIR,0,0,0,Piraattipuolue r.p.,Pirkanmaan vaalipiiri,Alasuutari,0,0
Tampere,tekniikan ylioppilas,0,0,Panu Rikhard,139,139,0,PIR,139,0,0,Piraattipuolue r.p.,Pirkanmaan vaalipiiri,Horsmalahti,0,0
Tampere,"yrittäjä, opiskelija",0,0,Mika Matias,129,209,0,PIR,209,0,0,Piraattipuolue r.p.,Pirkanmaan vaalipiiri,Isomaa,80,0
Kangasala,"ylioppilas, ohjelmoija",0,0,Henri Esa Henrik,0,0,0,PIR,0,0,0,Piraattipuolue r.p.,Pirkanmaan vaalipiiri,Tuhola,0,0
Tampere,"yrittäjä, muusikko",0,0,Olli Sakari,200,350,0,PIR,150,0,0,Piraattipuolue r.p.,Pirkanmaan vaalipiiri,Soppela,0,150
Tampere,opiskelija,0,0,Juha Kalle Kalervo,0,416,0,PIR,416,0,0,Piraattipuolue r.p.,Pirkanmaan vaalipiiri,Oksanen,0,0
Tampere,opiskelija,0,0,Antti Samuel,200,200,0,PIR,200,0,0,Piraattipuolue r.p.,Pirkanmaan vaalipiiri,Impiö,0,0
Tampere,"puoluesihteeri, opiskelija",0,0,Harri Sakari,50,50,0,PIR,50,0,0,Piraattipuolue r.p.,Pirkanmaan vaalipiiri,Kivistö,0,0
Akaa,"tekniikan ylioppilas, lehdenjakaja",0,0,Oula-Antti,100,1200,0,M11,1200,500,0,Muutos 2011 r.p.,Pirkanmaan vaalipiiri,Lintula,600,0
Lempäälä,"valtiotieteiden tohtori, diakoniajohtaja",0,0,Matti Olavi,13505,22103,2407,KOK,22103,0,0,Kansallinen Kokoomus r.p.,Pirkanmaan vaalipiiri,Helin,6191,0
Hämeenkyrö,"vastaava perheneuvolapsykologi, psykologian maisteri",0,0,Päivi Ulla Maria,4000,15000,750,KESK,15000,0,2300,Suomen Keskusta r.p.,Pirkanmaan vaalipiiri,Hiltunen,7950,0
Vesilahti,"liikennöitsijä, maanviljelijä",0,0,Ari Juhani,10000,10000,0,KESK,0,0,0,Suomen Keskusta r.p.,Pirkanmaan vaalipiiri,Arvela,0,0
Ikaalinen,"metsätalousinsinööri (AMK), metsäluontosuunnittelija",500,0,Matti Kalevi,7400,8000,0,KESK,8000,0,0,Suomen Keskusta r.p.,Pirkanmaan vaalipiiri,Äijö,100,0
Pälkäne,"hallintotieteiden kandidaatti, kansanedustajan avustaja",0,0,Matias Tuukka Petteri,4600,10000,500,KESK,10000,0,2400,Suomen Keskusta r.p.,Pirkanmaan vaalipiiri,Hilden,2500,0
Pirkkala,toimitusjohtaja,0,0,Raili Marja Leena,15000,0,0,KESK,15000,0,0,Suomen Keskusta r.p.,Pirkanmaan vaalipiiri,Naskali,0,0
Sastamala,maatalousyrittäjä,1000,0,Pertti Arvo Konrad,5000,30000,7500,KESK,30000,0,8500,Suomen Keskusta r.p.,Pirkanmaan vaalipiiri,Hakanen,8000,0
Kangasala,"kotiäiti, lähihoitaja",5700,0,Hanna Helena,0,10410,1550,KESK,10410,0,1570,Suomen Keskusta r.p.,Pirkanmaan vaalipiiri,Holma,1590,0
Lempäälä,"kasvatusjohtaja, yhteiskuntatieteiden maisteri",0,0,Aino Riitta Katariina,15000,20000,0,KESK,20000,0,3000,Suomen Keskusta r.p.,Pirkanmaan vaalipiiri,Kähkölä,2000,0
Kuopio,"sairaanhoitaja, opiskelija",0,0,Marja Liisa,250,250,0,VP,250,0,0,Vapauspuolue (VP) - Suomen tulevaisuus r.p.,Pohjois-Savon vaalipiiri,Luomanmäki,0,0
Leppävirta,varastomies,0,0,Tomi Juhani,80,80,0,VP,0,0,0,Vapauspuolue (VP) - Suomen tulevaisuus r.p.,Pohjois-Savon vaalipiiri,Hämäläinen,0,0
Kuopio,järjestötyöntekijä,0,0,Mari Tytti Johanna,30,456,0,VIHR,459,256,0,Vihreä liitto r.p.,Pohjois-Savon vaalipiiri,Kauhanen,173,0
Kuopio,"kaupunginvaltuutettu, lukion lehtori",0,0,Hetti Haria,12000,15000,0,VIHR,15000,0,2200,Vihreä liitto r.p.,Pohjois-Savon vaalipiiri,Rytsy,225,0
Kuopio,"luonnontieteiden ylioppilas, ympäristötieteiden opiskelija",0,0,Sara Irene,1150,7300,6000,VIHR,7300,0,0,Vihreä liitto r.p.,Pohjois-Savon vaalipiiri,Sajaniemi,150,0
Lapinlahti,"filosofian maisteri, metsäasiantuntija",0,1000,Harri Markus Olavi,3967,5397,0,VIHR,5397,0,0,Vihreä liitto r.p.,Pohjois-Savon vaalipiiri,Hölttä,430,0
Kuopio,sihteeri,0,0,Eija Anneli,410,460,0,VIHR,0,0,0,Vihreä liitto r.p.,Pohjois-Savon vaalipiiri,Luostarinen,50,0
Kuopio,"YTM, toiminnanjohtaja",0,0,Minna Maria,442,692,0,VIHR,692,0,0,Vihreä liitto r.p.,Pohjois-Savon vaalipiiri,Heikka,250,0
Siilinjärvi,"salkunhoitaja, kauppatieteiden kandidaatti",0,0,Toni Kristian,910,1343,0,VIHR,1343,0,333,Vihreä liitto r.p.,Pohjois-Savon vaalipiiri,Juvonen,100,0
Maaninka,"FM, agrologi (AMK)",0,0,Liisa Inkeri,600,1153,0,VIHR,1153,0,553,Vihreä liitto r.p.,Pohjois-Savon vaalipiiri,Pietikäinen,0,0
Iisalmi,"FM, hankeohjaaja",0,0,Mika Petri,830,1530,0,VIHR,1530,0,200,Vihreä liitto r.p.,Pohjois-Savon vaalipiiri,Karhu,500,0
Siilinjärvi,"opiskelija, maakuntavaltuuston jäsen",0,0,Iiro-Pekka,436,1824,0,VIHR,1824,0,333,Vihreä liitto r.p.,Pohjois-Savon vaalipiiri,Airola,1055,0
Kuopio,"dosentti, yliopiston lehtori",0,0,Erkki Antero,950,1000,0,VIHR,1000,0,0,Vihreä liitto r.p.,Pohjois-Savon vaalipiiri,Björk,50,0
Kuopio,opiskelija,0,0,Tero Tapani,640,750,0,VIHR,750,0,0,Vihreä liitto r.p.,Pohjois-Savon vaalipiiri,Kankaanperä,110,0
Kuopio,"FM, amanuenssi",0,0,Marianna Aino Elisa,3950,5700,0,VIHR,5700,0,0,Vihreä liitto r.p.,Pohjois-Savon vaalipiiri,Falkenberg,1750,0
Kuopio,"tekniikan tohtori, filosofian maisteri",0,0,Harri Kristian,5800,6000,0,VIHR,6000,0,0,Vihreä liitto r.p.,Pohjois-Savon vaalipiiri,Auvinen,160,0
Kuopio,"YTM, sosiaalityöntekijä",0,0,Heidi Kaarina Annukka,2000,9000,500,VAS,9000,0,5500,Vasemmistoliitto r.p.,Pohjois-Savon vaalipiiri,Komulainen,500,500
Kuopio,"lihanleikkaaja, työsuojeluvaltuutettu",3500,0,Tuomo Pekka,1448,8008,0,VAS,8008,0,0,Vasemmistoliitto r.p.,Pohjois-Savon vaalipiiri,Tikkanen,60,3000
Kuopio,"kansanedustaja, yhteiskuntatieteiden kandidaatti",600,0,Erkki Alvar,9950,18400,800,VAS,18400,3300,3700,Vasemmistoliitto r.p.,Pohjois-Savon vaalipiiri,Virtanen,50,0
Leppävirta,"VTM, koulutuspäällikkö",300,0,Hanna-Kaisa,1100,8600,0,VAS,8600,0,2000,Vasemmistoliitto r.p.,Pohjois-Savon vaalipiiri,Korhonen,5200,0
Kuopio,kulttuuriteknikko,0,0,Kari Ensio,0,3300,0,VAS,3300,0,3300,Vasemmistoliitto r.p.,Pohjois-Savon vaalipiiri,Turunen,0,0
Siilinjärvi,"kansanedustaja, sairaanhoitaja",0,0,Tuula Anneli,13527,18597,1000,SDP,18597,0,2070,Suomen Sosialidemokraattinen Puolue,Pohjois-Savon vaalipiiri,Väätäinen,2000,0
Kuopio,valtiotieteiden kandidaatti (VTK),2400,0,Niko-Tapio Rauno,0,11728,0,SDP,11280,0,6000,Suomen Sosialidemokraattinen Puolue,Pohjois-Savon vaalipiiri,Korte,1740,800
Kuopio,"rovasti, teologian maisteri",0,0,Kimmo Kyösti Väinämö,11000,12000,0,PS,12000,0,0,Perussuomalaiset r.p.,Pohjois-Savon vaalipiiri,Kivelä,1000,0
Kuopio,"filosofian tohtori, informaatioanalyytikko",0,0,Aki Juhani,560,590,0,M11,590,0,0,Muutos 2011 r.p.,Pohjois-Savon vaalipiiri,Järvinen,30,0
Kuopio,kirvesmies,0,0,Esa Jaakko Antero,390,390,0,M11,390,0,0,Muutos 2011 r.p.,Pohjois-Savon vaalipiiri,Nyyssönen,0,0
Iisalmi,"eläinlääketieteen lisensiaatti, eläinlääkäri",0,0,Markku Yrjö,28000,37000,4000,KOK,37000,0,5000,Kansallinen Kokoomus r.p.,Pohjois-Savon vaalipiiri,Eestilä,0,0
Siilinjärvi,"yrittäjä, maatalous- ja metsätieteiden maisteri",0,0,Heli Terttu Marjaana,12538,26510,0,KESK,26510,0,5400,Suomen Keskusta r.p.,Pohjois-Savon vaalipiiri,Pitkänen,8571,0
Kuopio,kansanedustaja,250,0,Markku Kalevi,15000,19490,1490,KESK,19490,0,1000,Suomen Keskusta r.p.,Pohjois-Savon vaalipiiri,Rossi,1750,0
Leppävirta,"sairaanhoitaja, psykoterapeutti",0,0,Aino Anneli,10000,23000,1400,KESK,23000,0,4000,Suomen Keskusta r.p.,Pohjois-Savon vaalipiiri,Kanniainen,7600,0
Pielavesi,kansanedustaja,0,12000,Elsi Kaarina,10000,36800,2800,KESK,36800,0,7000,Suomen Keskusta r.p.,Pohjois-Savon vaalipiiri,Katainen,5000,0
Juankoski,"maanviljelijä, agrologi",0,0,Jarmo Tapani,10000,18100,1950,KESK,18100,0,4000,Suomen Keskusta r.p.,Pohjois-Savon vaalipiiri,Nykänen,2150,0
Kiuruvesi,"rehtori, maatilan emäntä",450,0,Minna Anna Tuulikki,9800,34200,1300,KESK,34200,0,8500,Suomen Keskusta r.p.,Pohjois-Savon vaalipiiri,Lilja,14150,0
Lapinlahti,"Euroopan parlamentin jäsenen avustaja, maanviljelijä",1500,12000,Ossi Paavo Pellervo,10000,31000,6000,KESK,31000,0,0,Suomen Keskusta r.p.,Pohjois-Savon vaalipiiri,Martikainen,1500,0
Kuopio,"yrittäjä, Suomen Autokoululiiton pj",0,0,Jukka Antero,17200,34500,16000,KESK,34500,0,0,Suomen Keskusta r.p.,Pohjois-Savon vaalipiiri,Peiponen,1300,0
Joensuu,"terveystieteiden kandidaatti, terveydenhoitaja",0,0,Kaisa Leena,738,6985,0,KESK,6985,0,2400,Suomen Keskusta r.p.,Pohjois-Savon vaalipiiri,Hiltunen,3847,0
Lapinlahti,"yht.yo, opiskelija",0,0,Juha-Pekka Aleksanteri,1500,11000,0,KESK,11000,500,2500,Suomen Keskusta r.p.,Pohjois-Savon vaalipiiri,Rusanen,6500,0
Pori,"lääketieteen tohtori, ylilääkäri",0,0,Esa Matti,11566,11766,0,VIHR,11766,0,0,Vihreä liitto r.p.,Satakunnan vaalipiiri,Rintala,200,0
Eura,"psykiatrinen sairaanhoitaja, perheterapeutti",0,0,Hannele Anna-Liisa,1700,2000,0,VIHR,2000,0,0,Vihreä liitto r.p.,Satakunnan vaalipiiri,Helander,300,0
Pori,sosiaalityöntekijä,0,0,Marika,300,300,0,VIHR,300,0,0,Vihreä liitto r.p.,Satakunnan vaalipiiri,Nirhamo,0,0
Rauma,"filosofian maisteri, biologi",0,0,Ville Veijo Wilhelm,150,150,0,VIHR,150,0,0,Vihreä liitto r.p.,Satakunnan vaalipiiri,Vasko,0,0
Kankaanpää,"filosofian maisteri, lehtori",0,0,Vesa-Matti,490,1390,0,VIHR,1390,0,250,Vihreä liitto r.p.,Satakunnan vaalipiiri,Velhonoja,650,0
Pori,"kasvatustieteen maisteri, opettaja",0,0,Anne Elina,4986,5663,0,VIHR,5663,0,220,Vihreä liitto r.p.,Satakunnan vaalipiiri,Liinamaa,457,0
Pori,"lääketieteen lisensiaatti, erikoislääkäri",0,0,Mia Christina,6100,7500,1400,VIHR,0,0,0,Vihreä liitto r.p.,Satakunnan vaalipiiri,Fagerlund,0,0
Kuopio,"terveydenhuollon lisensiaatti, koulutussuunnittelija",0,20000,Anna Maija,8300,0,0,KESK,30000,0,0,Suomen Keskusta r.p.,Pohjois-Savon vaalipiiri,Olkkonen,1000,700
Luvia,"filosofian maisteri, biologian ja maantieteen opettaja",0,0,Piia Kaarina,550,770,0,VIHR,770,0,220,Vihreä liitto r.p.,Satakunnan vaalipiiri,Risku-Myllyharju,0,0
Harjavalta,"yhteiskuntatieteiden ylioppilas, opiskelija",0,0,Klaus Antero Tapio,1100,1200,0,VIHR,1200,0,0,Vihreä liitto r.p.,Satakunnan vaalipiiri,Unkuri,100,0
Ulvila,"projektipäällikkö, hallintotieteiden tohtori",0,0,Heikki Pekka,967,972,0,VIHR,972,0,0,Vihreä liitto r.p.,Satakunnan vaalipiiri,Rantala,5,0
Rauma,opiskelija,0,0,Noora-Stiina,282,282,0,VIHR,282,0,0,Vihreä liitto r.p.,Satakunnan vaalipiiri,Kekki,0,0
Pori,"teologian maisteri, psykoterapeutti",0,0,Heikki Juhani,1771,1771,0,VIHR,1771,0,0,Vihreä liitto r.p.,Satakunnan vaalipiiri,Kruus,0,0
Huittinen,yrittäjä,0,0,Anne Maarit,4680,5400,0,VIHR,5400,0,220,Vihreä liitto r.p.,Satakunnan vaalipiiri,Bland,500,0
Huittinen,"kirvesmies, yrittäjä",700,0,Mikko Juhani,1500,5500,2100,VAS,5500,0,1000,Vasemmistoliitto r.p.,Satakunnan vaalipiiri,Kaunisto,200,0
Nakkila,työehtosihteeri,460,5000,Jari Heikki,6000,22000,700,VAS,22000,3000,5340,Vasemmistoliitto r.p.,Satakunnan vaalipiiri,Myllykoski,1500,0
Rauma,dokumentaatioassistentti,2720,0,Susanna Tuulikki,100,2820,0,VAS,2820,0,0,Vasemmistoliitto r.p.,Satakunnan vaalipiiri,Ruponen,20,0
Helsinki,työllisyyspalveluiden johtaja,400,0,Katja Maarika,3700,12200,0,VAS,12200,4200,0,Vasemmistoliitto r.p.,Satakunnan vaalipiiri,Syvärinen,2900,1000
Pori,"hankeneuvoja, insinööri",1100,0,Raisa Anne-Maria,650,6000,0,VAS,6000,0,1400,Vasemmistoliitto r.p.,Satakunnan vaalipiiri,Ranta,2350,500
Pori,"yhteiskuntatieteiden maisteri, hankintasuunnittelija",900,0,Juha Harry Erik,200,5000,3000,VAS,5000,0,0,Vasemmistoliitto r.p.,Satakunnan vaalipiiri,Sandberg,200,700
Pori,"yhteiskuntatieteiden maisteri, projektipäällikkö",17165,0,Aki Nikolai,3977,26978,1000,VAS,26978,0,3556,Vasemmistoliitto r.p.,Satakunnan vaalipiiri,Nummelin,1280,0
Rauma,postityöntekijä,4000,0,Ilkka Tapio,800,5000,0,VAS,0,0,0,Vasemmistoliitto r.p.,Satakunnan vaalipiiri,Ailasmaa,200,0
Pomarkku,"perhepäivähoitaja, pääluottamusmies",0,0,Jaana Hannele,0,5049,0,VAS,4438,0,0,Vasemmistoliitto r.p.,Satakunnan vaalipiiri,Heininen,0,0
Huittinen,"tiehöylänkuljettaja, laivakokki",1500,0,Ashton Forest,2500,5000,0,SDP,0,0,1000,Suomen Sosialidemokraattinen Puolue,Satakunnan vaalipiiri,Peasley,0,0
Ulvila,"tarkastaja, hallintotieteiden maisteri",1800,0,Anni Eliisa,637,3037,0,SDP,3037,100,500,Suomen Sosialidemokraattinen Puolue,Satakunnan vaalipiiri,Kulmala,0,0
Kankaanpää,rovasti,0,0,Taito Anssi Ilmari,30000,46220,3420,PS,46220,0,12800,Perussuomalaiset r.p.,Satakunnan vaalipiiri,Joutsenlahti,0,0
Rauma,"lehtori, eläkeläinen",0,0,Anita Orvokki,1788,2580,0,PS,2580,0,346,Perussuomalaiset r.p.,Satakunnan vaalipiiri,Koivu,170,276
Pori,yrittäjä,0,0,Olli-Pekka Ensio,375,400,0,M11,25,0,0,Muutos 2011 r.p.,Satakunnan vaalipiiri,Hakala,25,0
Rauma,yrittäjä,0,0,Antti Tapio,8000,26000,0,KESK,26000,0,0,Suomen Keskusta r.p.,Satakunnan vaalipiiri,Simula,0,0
Kokemäki,"kansanedustaja, agronomi",0,0,Juha Sakari,0,38000,0,KESK,38000,0,0,Suomen Keskusta r.p.,Satakunnan vaalipiiri,Korkeaoja,0,0
Merikarvia,"maatilan emäntä, myyjä",0,0,Anne Paula Sinikka,0,4500,0,KESK,5500,0,0,Suomen Keskusta r.p.,Satakunnan vaalipiiri,Vastamäki-Ahola,0,0
Eurajoki,"luokanopettaja, rehtori",10100,0,Vesa Kauko Kalevi,1000,22000,1500,KESK,22000,0,7900,Suomen Keskusta r.p.,Satakunnan vaalipiiri,Jalonen,1500,0
Pori,"yhteiskuntatieteiden maisteri, aluekehitysasiantuntija",0,0,Susa Viveka,100,3000,0,KESK,3000,0,1000,Suomen Keskusta r.p.,Satakunnan vaalipiiri,Lanne,400,1500
Pori,everstiluutnantti evp.,1000,0,Tapio Mikael,4500,12000,3500,KESK,12000,0,2400,Suomen Keskusta r.p.,Satakunnan vaalipiiri,Huhtanen,600,0
Rauma,"tekniikan tohtori, yliopettaja",0,0,Sauli Sakari,500,40600,0,KD,40600,0,39000,Suomen Kristillisdemokraatit (KD),Satakunnan vaalipiiri,Ahvenjärvi,1100,0
Kokkola,media-assistentti,0,0,Jussi Sakari,0,0,0,VP,0,0,0,Vapauspuolue (VP) - Suomen tulevaisuus r.p.,Vaasan vaalipiiri,Siitarinen,0,0
Vaasa,opiskelija,0,0,Eppu,200,1350,0,VIHR,1350,0,0,Vihreä liitto r.p.,Vaasan vaalipiiri,Saarela,1150,0
Kokkola,"teatteri-ilmaisun ohjaaja, opiskelija",0,0,Petri,50,100,0,VIHR,100,0,0,Vihreä liitto r.p.,Vaasan vaalipiiri,Lappalainen,50,0
Kokkola,lääkäri,0,0,Hanna,3123,3210,12,VIHR,3210,0,0,Vihreä liitto r.p.,Vaasan vaalipiiri,Cygnel,75,0
Seinäjoki,"kasvatustieteiden maisteri, luokanopettaja",0,0,Henna,300,1390,0,VIHR,1390,0,220,Vihreä liitto r.p.,Vaasan vaalipiiri,Rantasaari,870,0
Pori,tekniikan ylioppilas,600,0,Tuomas Tapio,1500,6000,0,KESK,6000,0,3000,Suomen Keskusta r.p.,Satakunnan vaalipiiri,Meriniemi,900,0
Vaasa,aikuiskouluttaja,0,0,Juha,455,890,0,VIHR,890,0,175,Vihreä liitto r.p.,Vaasan vaalipiiri,Tuomikoski,260,0
